Metropolitan Statistical Area,Population
Duluth,279220
San Rafael,261129
Ames,97202
Dutchess County,391642
Fond du Lac,101860
Grand Forks,101537
"Manhattan, KS",99113
Lake County,868929
Wenatchee,117637
Altoona,124942
Provo,599314
"The Villages, FL",124785
Idaho Falls,141859
La Crosse,137403
Napa,142635
Wausau,136010
Ann Arbor,361440
Barnstable Town,213081
St. Cloud,195241
Bremerton,262877
Boulder,324108
Albany,122030
Bangor,152658
Casper,82870
Columbus,81884
Dalton,143925
Danville,78439
Iowa City,169088
Lewiston,107279
Missoula,115226
Ocean City,93755
Oshkosh,169773
Rochester,214994
St. George,159745
