,City,Country,Population,Bars,Parks,Galleries,Gyms,Bookstores,Fast Food
0,Fairbanks,US,34657,9.810427907781978,1.154167989150821,2.0197939810139363,3.1739619701647572,1.154167989150821,9.521885910494273
1,Detroit,US,1747582,6.866630578708181,1.2531600806142429,0.7953847087003643,3.913979429863663,0.8812175909342166,10.87216508295462
2,New Orleans,US,1272995,6.60646742524519,1.0526357134159992,1.9481616188594613,2.2780922156017893,0.6441502126874026,5.184623663093728
3,Memphis,US,1346931,2.101072734980485,0.5642456814788582,0.3118199818698953,1.2769770686100474,0.25984998489157946,5.226696838962055
4,Mobile,US,414817,3.0615910148330467,0.67499644421516,0.4821403172965428,1.51874199948411,0.2410701586482714,6.412466220044019
5,Philadelphia,US,2134060,7.966036568793754,1.9727655267424535,1.4854315248868355,6.091675023195224,1.2277068123670376,7.497446182394122
6,Baltimore,US,2797991,3.3345353862825147,0.8148703837860809,0.43960112809512253,2.4374631655355574,0.5075069934106292,5.36098936701369
7,Savannah,US,385219,6.983040815743772,1.972903724894151,1.8171481676656656,2.7516815110365793,0.7528185266043471,8.826148242947518
8,Auburn,US,160071,2.6863079508468117,0.7496673351200406,0.18741683378001014,0.9995564468267206,0.6871950571933705,6.372172348520344
9,Flint,US,407879,4.241453960610867,0.8826146970057297,0.3187219739187357,1.7161952441778077,0.3187219739187357,7.306088325214096
10,Hammond,US,129819,169.46671904728893,37.8218904782813,33.123040541061016,100.13942489157981,19.257581709919194,207.98188246712732
11,Salinas,US,434506,5.408440850068814,4.694986950698034,3.4982255711083394,6.85836329072556,1.5419810083174914,10.74783777439207
12,Chicago,US,7318619,3.8258584030675733,1.2078781529684768,0.7774690826233748,2.8693938023006798,0.5451848224371292,5.465512004382248
13,Albany,US,152566,17.566168084632224,3.4083609716450582,2.425179922132061,10.68390073804124,2.949543148538993,21.171165266179884
14,Montgomery,US,372661,1.851548726590655,0.7245190669267779,0.18783827661064612,0.8855233040216175,0.2146723161264527,5.3936419426771245
15,Shreveport,US,442787,2.4390959987533507,0.519437110845621,0.27101066652815015,1.038874221691242,0.3613475553708668,4.968528886349419
16,Fayetteville,US,378409,3.9903913490429668,1.849850294258329,0.4228229244019038,2.114114622009519,0.5021022227272607,7.26726901315772
17,Fort Wayne,US,431558,3.0586850434935746,0.46343712780205676,0.2548904202911312,1.2049365322853476,0.4402652714119539,5.630761102794989
18,Pine Bluff,US,92403,0.43288637814789566,0.3246647836109217,0.10822159453697391,0.21644318907394783,0.0,4.112420592405008
19,Gary,US,700547,18.55692765795871,4.025425845803351,4.696330153437242,11.462471468723725,2.1126348410599145,22.839295579026103
20,Columbus,US,316990,23.943972995993565,7.5712167576264235,3.1231269125209,12.68178806902426,2.7130193381494685,34.70141013912111
21,Little Rock,US,737086,1.8993713080970198,0.44770895119429754,0.24420488246961683,1.0582211573683398,0.284905696214553,5.141869469776933
22,Bakersfield,US,884443,1.4359319933562704,0.9384437436895312,0.1356786135454744,1.4133188910986914,0.2939703293485278,5.06533490569771
23,Beckley,US,121287,2.143675744308953,0.9893888050656706,0.1648981341776118,0.6595925367104472,0.24734720126641765,5.6065365620388
24,Milwaukee,US,1577025,6.341053566049999,1.2999159810402499,0.6594695708691999,2.2320508552495997,0.48192007101979994,5.066501799273949
25,Baton Rouge,US,833146,2.2685099610392414,0.9482131583179899,0.3360755497835914,1.5483480686458317,0.216048567718023,5.065138643166984
26,Virginia Beach,US,1724733,2.4699475223121494,0.9740638116160588,0.3130919394480189,1.7973796523867753,0.5160219002013645,4.621005106297613
27,Saginaw,US,191925,6.981893968998307,0.8857626677087405,0.5210368633580826,1.7194216490816725,0.5210368633580826,10.368633580825843
28,Cleveland,US,2055254,4.846116343770649,0.9487878383888317,0.5254824951076607,2.08733324445543,0.41843976462276683,4.8655786584042655
29,Indianapolis,US,2004800,3.2621707901037507,1.8006783719074222,0.5586592178770949,2.0849960095770155,0.41899441340782123,5.48683160415004
30,Rockford,US,337323,5.899390198711621,0.8300649525825397,0.35574212253537413,2.1048075583342967,0.5929035375589569,8.478520587093083
31,Tulsa,US,984554,2.6915740528198557,0.6195698763094762,0.304706496545644,1.5438462491645966,0.3656477958547728,5.393304988857898
32,Kankakee,US,109833,7.921116604299255,1.2746624420711443,0.45523658645398013,2.3672302495606967,0.18209463458159203,9.559968315533583
33,Las Vegas,US,2155946,5.566002116936139,1.7115456509578626,0.7514102857863787,3.6781997322752984,0.658643583837443,8.812836685148886
34,Topeka,US,232459,2.366008629478747,0.38716504846015853,0.3011283710245678,1.1184768066626802,0.21509169358897698,4.387870549215131
35,Anchorage,US,315641,3.3582456018071163,3.168156228119921,0.9187653061547771,2.0909831105591477,0.7286759324675819,5.449228712366264
36,Houma,US,212402,1.9773825105224998,0.3295637517537499,0.14124160789446427,1.0357717912260713,0.14124160789446427,4.048926092974642
37,Goldsboro,US,124396,1.6077687385446475,0.48233062156339435,0.4019421846361619,1.1254381169812533,0.643107495417859,9.968166178976816
38,Jacksonville,US,1473678,3.087513011661978,1.3232198621408475,0.305358429724811,2.2121521797841863,0.3664301156697732,5.693238278647032
39,Stockton,US,729104,3.3328578638987034,2.235620707059624,0.5211876494985627,4.292940376132898,0.7680660097873555,9.35394676205315
40,Chambersburg,US,153940,4.936988437053397,1.948811225152657,0.5196829933740418,2.078731973496167,0.6496037417175523,9.744056125763285
41,Yakima,US,250717,2.1937084441820858,0.5982841211405688,0.07977121615207584,0.7179409453686827,0.35897047268434135,3.948675199527754
